Subject,Course Number,Course Name,Course Code,Workload %,Advisory Prerequisites,Enforced Prerequisites
"AAS","103","First Year Social Science Seminar","AAS103","17","Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"AAS","104","First Year Humanities Seminar","AAS104","12","Enrollment restricted to first-year students, including those with sophomore standing.","N/A"
"AAS","115","Elementary Swahili I","AAS115","4","N/A","N/A"
"AAS","116","Elementary Swahili II: Language and Culture","AAS116","4","AAS 115","N/A"
"AAS","125","Elementary Yoruba I","AAS125","0","N/A","N/A"
"AAS","126","Elementary Yoruba II","AAS126","0","AAS 125; May not repeat the same language at the same level.","N/A"
"AAS","200","Introduction to African Studies","AAS200","15","N/A","N/A"
"AAS","201","Introduction to Afro-American Studies","AAS201","4","N/A","N/A"
"AAS","202","Introduction to African Diasporic Studies","AAS202","7","N/A","N/A"
"AAS","206","Issues African St","AAS206","N/A","AAS 111","N/A"
"AAS","208","Introduction to African Art","AAS208","10","N/A","N/A"
"AAS","214","African American Art","AAS214","12","N/A","N/A"
"AAS","215","Intermediate Swahili I","AAS215","5","AAS 116 or 117","N/A"
"AAS","216","Intermediate Swahili II","AAS216","2","AAS 215","N/A"
"AAS","224","African Visual Cultures:  Akan/Kongo/Yoruba","AAS224","N/A","N/A","N/A"
"AAS","225","Intermediate Yoruba I","AAS225","0","AAS 126 or permission of instructor based on proficiency in elementary language skills.","N/A"
"AAS","226","Intermediate African Languages II","AAS226","N/A","May not repeat the same language at the same level.","CAAS 225"
"AAS","226","Intermediate Yoruba II","AAS226","0","AAS 225 or permission of instructor based upon proficiency of elementary language skills.","N/A"
"AAS","230","Survey of Afro-American History I","AAS230","10","AAS 111","N/A"
"AAS","231","Survey of Afro-American History, II","AAS231","N/A","AAS 111","N/A"
"AAS","232","Survey of African American Cinema","AAS232","N/A","N/A","N/A"
"AAS","233","Stayin' Alive: Performing Race in 1970s U.S. Film","AAS233","19","N/A","N/A"
"AAS","246","Africa to 1850","AAS246","11","N/A","N/A"
"AAS","247","Modern Africa","AAS247","47","N/A","N/A"
"AAS","248","Crime, Race, and the Law","AAS248","3","N/A","N/A"
"AAS","250","Law, Race, and the Historical Process, I","AAS250","N/A","N/A","N/A"
"AAS","251","Law, Race, and the Historical Process, II","AAS251","N/A","AAS 450","N/A"
"AAS","254","The History and Evolution of Hip Hop Culture","AAS254","2","N/A","N/A"
"AAS","255","From the Underground to Motown: A Course on Detroit's History","AAS255","N/A","N/A","N/A"
"AAS","260","The Political Economy of African Development","AAS260","12","N/A","N/A"
"AAS","261","Nature and Power: An Introduction to Political Ecology","AAS261","20","N/A","N/A"
"AAS","262","20th Century African-American Social Movements","AAS262","N/A","N/A","N/A"
"AAS","271","Introduction to Afro-American Literature","AAS271","11","AAS 111 (CAAS 111)","N/A"
"AAS","275","Black women in Popular Culture","AAS275","5","N/A","N/A"
"AAS","290","Selected Topics in Black World Studies","AAS290","5","N/A","N/A"
"AAS","303","Race and Ethnic Relations","AAS303","13","An introductory course in Sociology or AAS 201","N/A"
"AAS","304","Gender and Immigration:  Identity, Race, and Place","AAS304","N/A","The seminar is intended for junior and senior undergraduates but sophomores are also welcome.","N/A"
"AAS","309","Global Health in African Contexts","AAS309","N/A","N/A","N/A"
"AAS","310","Atlantic Slavery and the Making of the Modern World","AAS310","N/A","N/A","N/A"
"AAS","315","Advanced Swahili I","AAS315","N/A","AAS 216","N/A"
"AAS","316","Advanced Swahili II","AAS316","N/A","AAS 315","N/A"
"AAS","317","Threads: What Does Clothing Have to Do with Race, Culture, Politics, and the Environment?","AAS317","51","N/A","N/A"
"AAS","319","The Black Church","AAS319","N/A","N/A","N/A"
"AAS","321","African American Social Thought","AAS321","N/A","AAS 201","N/A"
"AAS","322","Introduction to Environment Politics:  Race, Class, and Gender","AAS322","13","N/A","N/A"
"AAS","323","Black Feminist Thought and Practice","AAS323","10","N/A","N/A"
"AAS","324","Dealing with the Past and Doing Justice in Africa:  South Africa, Rwanda, Sierra Leone","AAS324","N/A","AAS 111 and AAS 200, prior coursework in comparative politics, international relations, or permission of instructor","N/A"
"AAS","325","Advanced Yoruba I","AAS325","N/A","AAS 226 - Intermediate Yoruba II","N/A"
"AAS","326","Advanced Yoruba II","AAS326","N/A","N/A","N/A"
"AAS","327","Aspc Blk Exp","AAS327","N/A","One course in Psychology or Afro-American and African Studies. AAS 201 recommended.","N/A"
"AAS","329","Writing Sex: Contemporary Black Women Writers","AAS329","23","N/A","N/A"
"AAS","330","Living for the City: Black Study and Urban Transformation","AAS330","N/A","N/A","N/A"
"AAS","331","Wrl Blk Chld","AAS331","N/A","One course in Psychology or Afro-American and African Studies.","N/A"
"AAS","335","Medical Anthropologies of Kinship, Relatedness, and the Human","AAS335","47","N/A","N/A"
"AAS","337","Black Women in the U.S., Part II: Contemporary Perspective in the 20th and 21st Centuries","AAS337","N/A","AAS 201","N/A"
"AAS","338","Lit Afro Cul","AAS338","33","AAS 201","N/A"
"AAS","340","Blacks in Films","AAS340","N/A","AAS 201","N/A"
"AAS","341","Black Queer Histories","AAS341","N/A","At least one course in Women's and Gender Studies, Afroamerican and African Studies, or History","N/A"
"AAS","342","Hip Hop Africa","AAS342","N/A","N/A","N/A"
"AAS","342","From the Underground to Motown: A Course on Detroit's History","AAS342","N/A","N/A","N/A"
"AAS","346","Literature in African History","AAS346","71","N/A","N/A"
"AAS","347","Urban Inequality in America","AAS347","16","One course in introductory sociology","N/A"
"AAS","350","Theory and Practice of Visionary Organizing","AAS350","N/A","N/A","N/A"
"AAS","353","Urban Ethnography and the Black Experience","AAS353","14","N/A","N/A"
"AAS","354","Race and Identity in Music","AAS354","N/A","N/A","N/A"
"AAS","355","Health and Illness in African Worlds","AAS355","19","N/A","N/A"
"AAS","356","Democracy and Development in Africa","AAS356","21","N/A","N/A"
"AAS","357","Environmental Governance and African Development","AAS357","46","N/A","N/A"
"AAS","358","Black World Studies","AAS358","12","N/A","N/A"
"AAS","359","African Politics","AAS359","N/A","AAS 200","N/A"
"AAS","362","Expressive Cultures of the Black Atlantic:  Vision and Time","AAS362","N/A","HISTART 208/AAS 208 and upperclass standing","N/A"
"AAS","363","Politics of International Aid","AAS363","22","N/A","N/A"
"AAS","365","Global Perspectives on Gender, Health, and Reproduction","AAS365","N/A","One course in either Women's & Gender Studies or AAS","N/A"
"AAS","366","Music of Africa","AAS366","19","N/A","N/A"
"AAS","367","Africanist Dance Traditions: From Minstrelsy to Hip Hop","AAS367","N/A","N/A","N/A"
"AAS","371","Black Arts Matter: Black Women Performers and Politics","AAS371","N/A","N/A","N/A"
"AAS","374","Readings in African American and Black Literatures","AAS374","N/A","N/A","N/A"
"AAS","382","Toni Morrison","AAS382","N/A","N/A","N/A"
"AAS","384","Caribbean Literature","AAS384","20","AAS 202","N/A"
"AAS","385","African Literature","AAS385","N/A","AAS 200","N/A"
"AAS","391","Psychology of the Black Experience","AAS391","0","N/A","N/A"
"AAS","392","Mad, Bad, and Sad: Mental Health in the U.S.","AAS392","13","N/A","N/A"
"AAS","393","Flawless/Formation/Freedom: Writing About Race, Gender and Popular Culture","AAS393","N/A","N/A","N/A"
"AAS","394","Junior Seminar in Professional Writing","AAS394","N/A","Upperclass standing.","N/A"
"AAS","395","Germany and the Black Diaspora","AAS395","2","N/A","N/A"
"AAS","407","Looking at African Things","AAS407","N/A","HISTART 208/AAS 208","N/A"
"AAS","408","African Ec Soc&Pol","AAS408","N/A","AAS 200","N/A"
"AAS","410","Supervised Research","AAS410","0","N/A","N/A"
"AAS","411","Caribbean Religions: Creole Spiritualities from Vodou to Islam","AAS411","N/A","N/A","N/A"
"AAS","418","Black Americans and the Political System","AAS418","6","One course in Political Science and AAS 201","N/A"
"AAS","421","Religions of the African Diaspora","AAS421","N/A","N/A","N/A"
"AAS","426","Cities in Contemporary Africa","AAS426","4","N/A","N/A"
"AAS","438","Black Intimacies in the U.S.","AAS438","4","At least one class in Women's and Gender Studies, History, or Afroamerican and African Studies","N/A"
"AAS","439","Creole Lang","AAS439","N/A","AAS 202","N/A"
"AAS","441","Political Violence in Africa","AAS441","N/A","N/A","N/A"
"AAS","449","Energy Matters: Environment, Culture, Power, and the Oil State","AAS449","N/A","At least one previous course in the Department of Anthropology or the Department of Afroamerican and African Studies","N/A"
"AAS","453","Culture, Class, and Conflict in Southern Africa","AAS453","N/A","AAS 200","N/A"
"AAS","457","When China Comes to Town: Environment and the Politics of Development in Africa","AAS457","N/A","N/A","N/A"
"AAS","458","Black World Issues","AAS458","22","N/A","N/A"
"AAS","460","Africa and Post-war Development Theory and Policy","AAS460","N/A","AAS 200 & ECON 102","N/A"
"AAS","464","Mus Lat Am & Caribb","AAS464","N/A","AAS 202","N/A"
"AAS","473","Brazil:  History and Culture","AAS473","N/A","N/A","N/A"
"AAS","474","The Archaeology of Nubia","AAS474","N/A","MIDEAST 243 (NEAREAST 243) MIDEAST 338 (NEAREAST 338), AAS 200, or ANTHRARC 282","N/A"
"AAS","482","Black Queer Theory","AAS482","9","N/A","N/A"
"AAS","490","Special Topics in Black World Studies","AAS490","1","N/A","N/A"
"AAS","495","Senior Seminar","AAS495","29","Upperclass standing.","N/A"
"AAS","498","DAAS In Action","AAS498","18","N/A","N/A"
"AAS","510","Supervised Research","AAS510","N/A","Graduate standing and permission of instructor","N/A"
"AAS","515","Elementary Swahili I","AAS515","5","N/A","N/A"
"AAS","516","Elem Swahili II","AAS516","3","N/A","N/A"
"AAS","517","Elementary African languages I","AAS517","0","N/A","N/A"
"AAS","518","Elementary African Languages II","AAS518","0","AAS 517 or permission from instructor after testing","N/A"
"AAS","519","Afram&Pol Rac","AAS519","N/A","Graduate standing or permission of instructor.","N/A"
"AAS","525","Intermediate Swahili I","AAS525","5","N/A","N/A"
"AAS","526","Intermediate Swahili II","AAS526","0","N/A","N/A"
"AAS","535","Advanced Swahili I","AAS535","N/A","Intermediate Swahili II","N/A"
"AAS","536","Advanced Swahili II","AAS536","N/A","AAS 215 or AAS 535","N/A"
"AAS","549","Energy Matters: Environment, Culture, Power, Oil and the State","AAS549","N/A","N/A","N/A"
"AAS","556","Staging Blackness: Black Drama and the African American Literary Tradition","AAS556","N/A","N/A","N/A"
"AAS","558","Black World Seminar","AAS558","25","Graduate standing or permission of instructor.","N/A"
"AAS","564","Mus Lat Am & Caribb","AAS564","N/A","Graduate standing.","N/A"
"AAS","600","Proseminar:  Interdisciplinary Approaches to African Studies","AAS600","43","N/A","N/A"
"AAS","601","Interdisciplinary Approaches to African American and Diasporan Studies","AAS601","N/A","N/A","N/A"
"AAS","625","Intermediate Yoruba I","AAS625","0","Elementary African Language I and II","N/A"
"AAS","626","Intermediate African Language II","AAS626","N/A","Elementary African Language I and II, Intermediate African Language I","N/A"
"AAS","629","Studies in African History","AAS629","N/A","N/A","N/A"
"AAS","634","The Urban Ethnographic Tradition: Theory, Method, Standpoint","AAS634","N/A","Graduate standing; seniors with permission of instructor.","N/A"
"AAS","662","Health and Socioeconomic Development","AAS662","N/A","BIOSTAT 503 or BIOSTAT 553 or permission of instructor.","N/A"
"AAS","715","Advanced Swahili I","AAS715","N/A","Intermediate Swahili II","N/A"
"AAS","716","Advanced Swahili II","AAS716","N/A","AAS 535 (newly 715)","N/A"
"AAS","725","Advanced Yoruba I","AAS725","N/A","AAS 626","N/A"
"AAS","726","Advanced Yoruba II","AAS726","N/A","AAS 725","N/A"
"AAS","890","Capstone Course","AAS890","N/A","N/A","AAS 600 or 601"
"AAS","892","Capstone Research Course - African Studies","AAS892","N/A","N/A","AAS 600"
"ACC","300","Financial Accounting","ACC300","6","Sophomore standing","BA100 or BBA Transfer Admit"
"ACC","301","Managerial Accounting","ACC301","17","ACC 300 or ACC 471","BBA First Year Requirements and BBA Sophomore Fall Core"
"ACC","302","Financial Accounting","ACC302","30","Sophomore standing","(Ross Minor or BBA Exchange or Non-Ross Sophomore or Junior or Senior) and (No credit in ACC 471)"
"ACC","303","Managerial Accounting","ACC303","10","ACC 300 or ACC 471","(ACC 300, excluding BBA students) or ACC 302"
"ACC","312","Intermediate Financial Accounting","ACC312","6","ACC 301, Jr","(ACC 300 or 302 or 471) and (BBA or Ross Minor)"
"ACC","315","P&L Leadership via Cost Management","ACC315","11","ACC 301","ACC 300, ACC 302, or ACC 471"
"ACC","317","Federal Taxation and Managerial Decisions","ACC317","31","ACC 301","BBA Junior Standing or BBA Senior Standing or BusAd Minor"
"ACC","335","Managing the Maize and Blue Fund","ACC335","56","ACC 318","FIN 300 or 302"
"ACC","336","Managing the Maize and Blue Fund","ACC336","52","ACC 318","FIN 300 or 302"
"ACC","338","Managing the Maize and Blue Fund as a Senior Analyst","ACC338","N/A","ACC 318","(ACC 335 or 336) and BBA Senior"
"ACC","399","Independent Study Project","ACC399","N/A","ACC 301","N/A"
"ACC","418","Capstone - Financial Statement Analysis","ACC418","31","It is strongly advised that students complete ACC 312 prior to enrolling in this course or enroll concurrently in both courses.","STRATEGY 390 and BBA Capstone Eligible"
"ACC","471","Accounting Principles","ACC471","18","Non-Bus, junior and above","(Ross Minor or Non-Ross Undergrad or Non-Ross Graduate) and (No credit in ACC 300, 302, or 501)"
"ACC","480","Effective Real Estate Financial Modeling","ACC480","11","N/A","(ACC 302 or 300) OR (URP 390 or 591 or 597 or 402 or 602)"
"ACC","502","Principles of Financial Accounting","ACC502","25","N/A","FTMBA and no credit in ACC 501"
"ACC","533","Principles of Financial Accounting","ACC533","49","N/A","(Online MBA) and (No credit in ACC 471, 501, 502, 503, 533, and no waivers)"
"ACC","534","Principles of Management Accounting","ACC534","12","N/A","(Prior or concurrent enrollment in ACC 533 or 501, or waiver) and (No credit in ACC 551 or 552)"
"ACC","551","Principles of Managerial Accounting","ACC551","N/A","N/A","ACC 501 and no credit in ACC 552"
"ACC","552","Management Accounting","ACC552","5","N/A","Full-Time MBA and (no credit in ACC 551 or 534 or A534 waiver)"
"ACC","555","Corporate Financial Research and Reporting","ACC555","16","N/A","ACC 501 or 502 or 591"
"ACC","557","Evaluating Financial Performance","ACC557","12","N/A","MM (Master of Management)"
"ACC","558","Cost Measurement and Control","ACC558","30","N/A","MM and (no credit in ACC 551)"
"ACC","560","Federal Taxation and Managerial Decisions","ACC560","17","ACC 501/503","GMBA or FTMBA or MAcc or MSCM or MM"
"ACC","561","Federal Taxation I","ACC561","57","ACC 301/501/502","GMBA or FTMBA or MAcc or MSCM or MM or Evening MBA"
"ACC","564","Corporate Financial Reporting","ACC564","43","ACC 312, 501, 502 (or equivalent)","GMBA or FTMBA or MAcc or MSCM"
"ACC","565","Accounting Analytics","ACC565","33","ACC 564","FTMBA or GMBA or MAcc or MSCM"
"ACC","591","Principles of Financial Accounting","ACC591","3","Global MBA students","GMBA"
"ACC","593","Management Accounting","ACC593","14","Global MBA students","N/A"
"ACC","601","Accounting Information System Design","ACC601","15","N/A","FTMBA or GMBA or MAcc or MSCM"
"ACC","618","Financial Communication and Investor Relations","ACC618","14","ACC 502, FIN 503, STRATEGY 502","FTMBA or GMBA or MAcc or MSCM"
"ACC","620","Federal Taxation II","ACC620","22","ACC 561/equivalent","Graduate"
"ACC","625","Advanced Financial Accounting","ACC625","26","ACC 564/permission of instructor","GMBA or FTMBA or MAcc or MSCM"
"ACC","630","Auditing and Assurance","ACC630","15","ACC 312, 564/equivalent","MAcc (Master of Accounting)"
"ACC","640","Internal Governance and Control: A P&L view","ACC640","28","ACC 552","Graduate"
"ACC","650","P&L Leadership via Cost Management","ACC650","6","ACC 552","Graduate"
"ACC","651","A Brief Introduction to Computing Technologies: Crypto, Al, Quantum","ACC651","1","N/A","Ross Graduate Student"
"ACC","695","MAcc Graduate Research Seminar","ACC695","12","N/A","MAcc (Master of Accounting)"
"ACC","711","Financial Statement Analysis I","ACC711","31","ACC 564 - non-mandatory but strongly suggested","(Ross Graduate Standing) and (No credit in ACC 712)"
"ACC","713","Financial Statement Analysis II","ACC713","53","ACC 564 and ACC 711- non-mandatory but strongly suggested","Graduate Standing and (No credit in ACC 712)"
"ACC","725","Managing the Maize and Blue Fund","ACC725","N/A","(ACC 711 and 713), or ACC 712","Graduate Standing and (FIN 503 or 503 waiver or 513 or 551 or 591)"
"ACC","726","Managing the Maize and Blue Fund","ACC726","N/A","(ACC 711 and 713), or ACC 712","Graduate Standing and (FIN 503 or 513 or 551 or 591 or waiver [F503])"
"ACC","728","Managing the Maize and Blue Fund as a Senior Analyst","ACC728","N/A","(ACC 711 & 713) or ACC 712","Graduate"
"ACC","750","Independent Study Project","ACC750","N/A","Graduate standing","N/A"
"ACC","751","Foundations of Tech: Algos, Crypto, AI, Quantum","ACC751","0","N/A","OMBA"
"ACC","764","Corporate Financial Reporting","ACC764","27","ACC 533, 501, or 502 (or equivalent)","(Online MBA) and (no credit in ACC 564)"
"ACC","891","Accounting Research in Capital Markets","ACC891","N/A","N/A","N/A"
"ACC","897","Doctoral Seminar in Theory of Capital Markets","ACC897","N/A","N/A","N/A"
"ACC","899","Doctoral Seminar in Contemporary Accounting Issues","ACC899","N/A","Permission of instructor","N/A"
"ACC","900","Special Research for Doctoral Applicants and Candidates","ACC900","N/A","N/A","N/A"
"ACC","990","Dissertation - Precandidacy","ACC990","N/A","Advanced doctoral student","N/A"
"ACC","995","Dissertation - Candidacy","ACC995","N/A","N/A","Candidate"
"ACC","998","Doc Prog Intern","ACC998","N/A","Enrollment is limited to 6 students with at least two full terms completed prior to registration.","N/A"
"ADABRD","101","Study Abroad for Artists and Designers","ADABRD101","N/A","N/A","N/A"
"ADABRD","320","Burren","ADABRD320","N/A","N/A","N/A"
"ADABRD","321","DIS Copenhagen","ADABRD321","N/A","N/A","N/A"
"ADABRD","322","SACI","ADABRD322","N/A","N/A","N/A"
"ADABRD","330","U Arts London","ADABRD330","N/A","N/A","N/A"
"ADABRD","332","Stamps Summer in Seoul, South Korea","ADABRD332","N/A","N/A","N/A"
"ADABRD","334","Loughborough","ADABRD334","N/A","N/A","N/A"
"ADABRD","335","Srishti","ADABRD335","N/A","N/A","N/A"
"ADABRD","339","Kyoto-Seika","ADABRD339","N/A","N/A","N/A"
"ADABRD","347","Taipei","ADABRD347","N/A","N/A","N/A"
"ADABRD","349","San Jose","ADABRD349","N/A","N/A","N/A"
"ADABRD","352","Spain, Altea","ADABRD352","N/A","N/A","N/A"
"ADABRD","354","Ravensburg","ADABRD354","N/A","N/A","N/A"
"ADABRD","355","Siena","ADABRD355","N/A","N/A","N/A"
"ADABRD","356","Indigenous Art Intensive in Kelowna, Canada","ADABRD356","N/A","N/A","N/A"
"ADABRD","384","Paris College of Art","ADABRD384","N/A","Students must take at least 15 credits. A minimum 3.0 GPA is required to enroll.","N/A"
"ADABRD","388","Global Internship in Singapore","ADABRD388","N/A","N/A","N/A"
"AERO","101","Heritage and Values of the United States Air Force I","AERO101","N/A","N/A","N/A"
"AERO","102","Heritage and Values of the United States Air Force II","AERO102","N/A","N/A","N/A"
"AERO","201","Team and Leadership Fundamentals I","AERO201","N/A","AERO 102/Permission of Instructor","N/A"
"AERO","202","Team and Leadership Fundamentals II","AERO202","N/A","AERO 201/Permission of Instructor","N/A"
"AERO","310","Leading People and Effective Communication I","AERO310","N/A","N/A","N/A"
"AERO","311","Leading People and Effective Communication II","AERO311","N/A","AERO 310.","N/A"
"AERO","410","National Security Affairs/Preparation for Active Duty I","AERO410","N/A","N/A","AERO 310 & 311; (C or better)"
"AERO","411","National Security Affairs/Preparation for Active Duty II","AERO411","N/A","N/A","AERO 310 & 311; (C or better)"
"AEROSP","200","Introduction to the Aerospace Enterprise","AEROSP200","1","N/A","N/A"
"AEROSP","201","Introduction to Aerospace Engineering","AEROSP201","55","N/A","[(ENGR 100 (or equivalent)  and (101 or 151)] and (PHYSICS 140 and 141) and (MATH 116 or equivalent); (C- or better)"
"AEROSP","205","Introduction to Aerospace Engineering Systems","AEROSP205","46","N/A","PHYSICS 140 or 141 or MATH 116 or ENGR 100 or 101 or 151; (C- or better)"
"AEROSP","215","Introduction to Solid Mechanics and Aerospace Structures","AEROSP215","20","Preceded or accompanied by MATH 216","MATH 116 & PHYSICS 140 & 141; (C- or better for all, no OPF)"
"AEROSP","225","Introduction to Gas Dynamics","AEROSP225","20","SEE BULLETIN","[(MATH 215 or 255 or 285) and (CHEM 125 and 130) and [(PHYSICS 140 or 160) and PHYSICS 141]]; C- or better"
"AEROSP","285","Aerospace Engineering Seminar","AEROSP285","N/A","N/A","AEROSP 201 or 245; (C- or better)"
"AEROSP","288","Fundamentals of Product Development","AEROSP288","92","N/A","N/A"
"AEROSP","290","Directed Study","AEROSP290","N/A","N/A","N/A"
"AEROSP","305","Aerospace Engineering Laboratory I","AEROSP305","63","Preceded by AEROSP 205, AEROSP 215, AEROSP 225, and PHYSICS 240 or PHYSICS 260.","AEROSP 215, AEROSP 255 and (PHYSICS 240 or 260); (for all courses: C- or better, no OPF)"
"AEROSP","315","Aircraft/Spacecraft Structures","AEROSP315","33","AEROSP 215 and Math 216","AEROSP 215 & MATH 216; (C- or better, no OPF)"
"AEROSP","325","Aerodynamics","AEROSP325","54","MATH 216 and AEROSP 225","MATH 216 & AEROSP 225; (C- or better, no OPF)"
"AEROSP","335","Aircraft and Spacecraft Propulsion","AEROSP335","23","AEROSP 225 and MATH 216","MATH 216 & AEROSP 225; (C- or better, no OPF)"
"AEROSP","341","Aircraft Dynamics","AEROSP341","31","N/A","MECHENG 240 and MATH 216 and AEROSP 201; (C- or better)"
"AEROSP","343","Spacecraft Dynamics","AEROSP343","23","N/A","MECHENG 240 and MATH 216 and AEROSP 201; (C- or better)"
"AEROSP","350","Fundamentals of Aerospace Computing","AEROSP350","58","MATH 216, ENG 101","(ENGR 101 or 151 or EECS 183); (C- or better, no OPF) and (ENGR 161 or [EECS 180 and ENGR 161]); (C- or better, no OPF)"
"AEROSP","388","Systems Engineering Processes and Digital Tools (MBSE)","AEROSP388","81","AEROSP 215, AEROSP 225 or equivalent/similar AEROSP 200-level courses within major","Preceded or accompanied by AEROSPACE 215 & 225; (C- or better, no OPF)"
